name	symbol	synonym	length	chromStart	chromEnd	strand	description	chrom	goterms	ecnums	kegg	pathways	cogs	pfams	operons
Rv0015c	pknA	Rv0015	1296	17466	18762	-	transmembrane serine/threonine-protein kinase A	chr					COG:K,COG:T,COG:R	PF00069.17	pknB-ppp
Rv0016c	pbpA	Rv0016	1476	18758	20234	-	penicillin-binding protein	chr	GO:0008955	EC:2.4.1.129	KEGG:00550		COG:M	PF00905.14	pknB-ppp
Rv0017c	rodA	Rv0017	1410	20230	21640	-	cell division protein	chr	GO:0016021,GO:0007049					PF01098.11	pknB-ppp
Rv0018c	ppp	Rv0018	1545	21636	23181	-	serine/threonine phosphatase	chr					COG:T	PF00481.13	pknB-ppp
Rv0019c		Rv0019	468	23269	23737	-	conserved hypothetical protein	chr					COG:T	PF00498.18	Rv0019c-Rv0019c
Rv0020c	TB39.8	Rv0020	1584	23860	25444	-	conserved hypothetical protein	chr					COG:T	PF00498.18	TB39.8-TB39.8
Rv0021c		Rv0021	969	25912	26881	-	conserved hypothetical protein	chr				PWY:PWY-723	COG:R	PF03060.7	Rv0021c-Rv0021c
Rv0022c	whiB5	Rv0022	420	27022	27442	-	transcriptional regulator whib-like	chr						PF02467.8	whiB5-whiB5
Rv0023			771	27594	28365	+	transcriptional regulator	chr					COG:K	PF01381.14	Rv0023-Rv0025
Rv0024			846	28361	29207	+	secreted protein	chr					COG:M	PF00877.11	Rv0023-Rv0025
Rv0025			363	29244	29607	+	conserved hypothetical protein	chr							Rv0023-Rv0025
Rv0026			1347	29721	31068	+	conserved hypothetical protein	chr							Rv0026-Rv0026
Rv0027			318	31188	31506	+	hypothetical protein	chr							Rv0027-Rv0028
Rv0028			306	31513	31819	+	hypothetical protein	chr							Rv0027-Rv0028
Rv0029			1098	32056	33154	+	conserved hypothetical protein	chr							Rv0029-Rv0029
Rv0030			330	33223	33553	+	hypothetical protein	chr							Rv0030-Rv0031
Rv0031			213	33581	33794	+	transposase	chr							Rv0030-Rv0031
Rv0032	bioF2		2316	34294	36610	+	8-amino-7-oxononanoate synthase	chr					COG:H	PF00155.13,PF00202.13,PF01212.13	bioF2-fadD34
Rv0033	acpA		264	36606	36870	+	acyl carrier protein	chr					COG:Q,COG:I	PF00550.17	bioF2-fadD34
Rv0034			396	36866	37262	+	conserved hypothetical protein	chr					COG:R		bioF2-fadD34
Rv0035	fadD34		1689	37258	38947	+	fatty-acid-CoA ligase	chr				PWY:P221-PWY	COG:I,COG:Q	PF00501.20	bioF2-fadD34
Rv0036c		Rv0036	774	39055	39829	-	conserved hypothetical protein	chr						PF08608.4	Rv0036c-Rv0036c
Rv0037c		Rv0037	1326	39876	41202	-	conserved membrane protein	chr						PF07690.8	Rv0037c-Rv0037c
Rv0038			609	41303	41912	+	conserved hypothetical protein	chr					COG:K	PF02622.7	Rv0038-Rv0038
Rv0039c		Rv0039	348	42003	42351	-	conserved membrane protein	chr							Rv0039c-Rv0039c
Rv0040c	mtc28	Rv0040	933	42432	43365	-	secreted proline rich protein	chr							mtc28-mtc28
Rv0041	leuS		2910	43561	46471	+	leucyl-tRNA synthetase	chr	GO:0004823	EC:6.1.1.4	KEGG:00970,KEGG:00290	PWY:TRNA-CHARGING-PWY	COG:J	PF08264.5,PF09334.3	leuS-leuS
Rv0042c		Rv0042	627	46580	47207	-	transcriptional regulator, marR-family	chr					COG:K	PF01047.14	Rv0042c-Rv0042c
Rv0043c		Rv0043	735	47365	48100	-	transcriptional regulator, gntR-family	chr					COG:K	PF00392.13	Rv0043c-Rv0043c
Rv0044c		Rv0044	795	48232	49027	-	oxidoreductase	chr					COG:C		Rv0044c-Rv0045c
Rv0045c		Rv0045	897	49042	49939	-	hydrolase	chr					COG:R	PF00561.12	Rv0044c-Rv0045c
Rv0046c	ino1	Rv0046	1104	50020	51124	-	myo-inositol-1-phosphate synthase	chr	GO:0004512	EC:5.5.1.4	KEGG:00521,KEGG:00562			PF01658.9,PF07994.4	ino1-ino1
Rv0047c		Rv0047	543	51184	51727	-	conserved hypothetical protein	chr					COG:K	PF03551.6	Rv0047c-Rv0047c
Rv0048c		Rv0048	870	51827	52697	-	membrane protein	chr						PF08044.3	Rv0048c-Rv0048c
Rv0049			414	52830	53244	+	conserved hypothetical protein	chr							Rv0049-Rv0049
Rv0050	ponA1		2037	53662	55699	+	bifunctional penicillin-binding protein	chr	GO:0008955	EC:3.4.-.-,EC:2.4.1.129	KEGG:00310,KEGG:00550,KEGG:05120,KEGG:00780		COG:M	PF00905.14,PF00912.14	ponA1-Rv0052
Rv0051			1683	55695	57378	+	conserved membrane protein	chr					COG:S		ponA1-Rv0052
Rv0052			564	57409	57973	+	conserved hypothetical protein	chr					COG:R	PF01965.16	ponA1-Rv0052
Rv0053	rpsF		291	58191	58482	+	30S ribosomal protein S6	chr	GO:0003735,GO:0005840,GO:0005622,GO:0006412				COG:J	PF01250.9	rpsF-rpsF
Rv0054	ssb		495	58585	59080	+	single-strand binding protein	chr	GO:0003697				COG:L	PF00436.17	ssb-ssb
Rv0055	rpsR		255	59121	59376	+	30S ribosomal protein rpsR1	chr	GO:0006412,GO:0005840,GO:0003735,GO:0005622					PF01084.12	rpsR-dnaB
Rv0056	rplI		459	59408	59867	+	50S ribosomal protein L9	chr	GO:0005622,GO:0006412,GO:0005840,GO:0003735				COG:J	PF01281.11,PF03948.6	rpsR-dnaB
Rv0057			522	59895	60417	+	hypothetical protein	chr							rpsR-dnaB
Rv0058	dnaB		2625	60395	63020	+	replicative DNA helicase	chr		EC:3.6.1.-	KEGG:00500,KEGG:00790,KEGG:00540		COG:L,COG:L	PF00772.13,PF03796.7	rpsR-dnaB
Rv0059			693	63199	63892	+	hypothetical protein	chr							Rv0059-Rv0061
Rv0060			1059	63908	64967	+	conserved hypothetical protein	chr						PF01661.11	Rv0059-Rv0061
Rv0061			426	64990	65416	+	hypothetical protein	chr							Rv0059-Rv0061
Rv0062	celA1		1143	65551	66694	+	cellulase	chr					COG:G	PF01341.9	celA1-celA1
Rv0063			1440	66922	68362	+	oxidoreductase	chr					COG:C	PF01565.15	Rv0063-Rv0063
Rv0064			2940	68619	71559	+	conserved membrane protein	chr						PF03699.5	Rv0064-Rv0064
Rv0065			402	71820	72222	+	conserved hypothetical protein	chr					COG:R		Rv0065-Rv0065
Rv0066c	icd2	Rv0066	2238	72273	74511	-	isocitrate dehydrogenase	chr		EC:1.1.1.42	KEGG:00480,KEGG:00720,KEGG:00020	PWY:ANARESP1-PWY,PWY:TCA		PF03971.6	icd2-icd2
Rv0067c		Rv0067	570	74628	75198	-	transcriptional regulator, tetR-family	chr					COG:K	PF00440.15	Rv0067c-Rv0067c
Rv0068			912	75300	76212	+	oxidoreductase	chr					COG:R,COG:Q,COG:I	PF00106.17,PF08659.2	Rv0068-Rv0068
Rv0069c	sdaA	Rv0069	1386	76236	77622	-	L-serine dehydratase	chr		EC:4.3.1.17	KEGG:00272,KEGG:00260	PWY:SERDEG-PWY	COG:E	PF03313.7,PF03315.7	sdaA-glyA2
Rv0070c	glyA2	Rv0070	1278	77618	78896	-	serine hydroxymethyltransferase 2	chr	GO:0004372	EC:2.1.2.1	KEGG:00310,KEGG:00460,KEGG:00680,KEGG:00260,KEGG:00670	PWY:1CMET2-PWY,PWY:GLYSYN-PWY,PWY:P106-PWY	COG:E	PF00464.11,PF01212.13	sdaA-glyA2
Rv0071			708	79485	80193	+	maturase	chr					COG:L		Rv0071-Rv0071
Rv0072			1050	80623	81673	+	glutamine-transport transmembrane protein ABC transporter	chr						PF02687.13	Rv0072-Rv0073
Rv0073			993	81675	82668	+	glutamine-transport ATP-binding protein ABC transporter	chr					COG:V	PF00005.19,PF00027.21	Rv0072-Rv0073
Rv0074			1236	82747	83983	+	conserved hypothetical protein	chr					COG:Q	PF01979.12,PF07969.3	Rv0074-Rv0075
Rv0075			1173	83995	85168	+	aminotransferase	chr					COG:E	PF00155.13	Rv0074-Rv0075
Rv0076c		Rv0076	390	85182	85572	-	membrane protein	chr							Rv0076c-Rv0076c
Rv0077c		Rv0077	831	85635	86466	-	oxidoreductase	chr					COG:R	PF00561.12	Rv0077c-Rv0077c
Rv0078			606	86527	87133	+	transcriptional regulator	chr					COG:K	PF00440.15	Rv0078-Rv0078
Rv0078A			594	87207	87801	-	hypothetical protein	chr							Rv0078A-Rv0078A
Rv0079			822	88203	89025	+	hypothetical protein	chr							Rv0079-Rv0080
Rv0080			459	89021	89480	+	conserved hypothetical protein	chr							Rv0079-Rv0080
Rv0081			345	89574	89919	+	transcriptional regulator	chr						PF01022.12	Rv0081-Rv0088
Rv0082			480	89923	90403	+	oxidoreductase	chr					COG:C	PF01058.14	Rv0081-Rv0088
Rv0083			1923	90399	92322	+	oxidoreductase	chr		EC:1.-.-.-	KEGG:04210,KEGG:00031,KEGG:00906,KEGG:00860		COG:P,COG:C	PF00361.12	Rv0081-Rv0088
Rv0084	hycD		951	92327	93278	+	formate hydrogenlyase	chr				PWY:FERMENTATION-PWY	COG:C		Rv0081-Rv0088
Rv0085	hycP		663	93288	93951	+	hydrogenase	chr		EC:1.-.-.-	KEGG:00906,KEGG:00860,KEGG:04210,KEGG:00031	PWY:ANARESPDON-PWY	COG:C		Rv0081-Rv0088
Rv0086	hycQ		1467	93950	95417	+	hydrogenase	chr		EC:1.-.-.-	KEGG:04210,KEGG:00906,KEGG:00031,KEGG:00860		COG:P,COG:C	PF00361.12	Rv0081-Rv0088
Rv0087	hycE		1479	95413	96892	+	formate hydrogenase	chr					COG:C,COG:C	PF00329.11	Rv0081-Rv0088
Rv0088			675	96926	97601	+	hypothetical protein	chr							Rv0081-Rv0088
Rv0089			594	97757	98351	+	methyltransferase/methylase	chr					COG:R,COG:Q	PF05175.6,PF05401.3,PF08241.4,PF08242.4	Rv0089-Rv0089
Rv0090			771	98479	99250	+	membrane protein	chr					COG:S		Rv0090-Rv0090
Rv0091	mtn		768	99683	100451	+	bifunctional nucleosidase	chr		EC:3.2.2.9,EC:3.2.2.16	KEGG:00271,KEGG:00220		COG:F	PF01048.12	mtn-mtn
Rv0092	ctpA		2286	100582	102868	+	cation transporter P-type ATPase A	chr	GO:0004008	EC:3.6.3.4			COG:P	PF00122.12,PF00403.18,PF00702.18	ctpA-ctpA
Rv0093c		Rv0093	849	102814	103663	-	conserved membrane protein	chr					COG:S		Rv0093c-Rv0093c
Rv0094c		Rv0094	954	103709	104663	-	conserved hypothetical protein	chr						PF02720.9	Rv0094c-Rv0094c
Rv0095c		Rv0095	411	104804	105215	-	conserved hypothetical protein	chr							Rv0095c-Rv0095c
Rv0096	PPE1		1392	105323	106715	+	PPE family protein	chr						PF00823.11	PPE1-nrp
Rv0097			870	106733	107603	+	oxidoreductase	chr					COG:Q	PF02668.8	PPE1-nrp
Rv0098			552	107599	108151	+	conserved hypothetical protein	chr							PPE1-nrp
Rv0099	fadD10		1623	108155	109778	+	fatty-acid-CoA ligase	chr				PWY:P221-PWY	COG:I,COG:Q	PF00501.20	PPE1-nrp
Rv0100			237	109782	110019	+	conserved hypothetical protein	chr						PF00550.17	PPE1-nrp
Rv0101	nrp		7539	110000	117539	+	peptide synthetase	chr		EC:2.7.7.-	KEGG:03030,KEGG:00230,KEGG:00240,KEGG:01053		COG:Q,COG:Q	PF00501.20,PF00550.17,PF00668.12,PF01073.11,PF01370.13,PF07993.4	PPE1-nrp
Rv0102			1986	117713	119699	+	conserved membrane protein	chr					COG:S		Rv0102-Rv0102
Rv0103c	ctpB	Rv0103	2259	119914	122173	-	cation-transporter P-type ATPase B	chr					COG:P	PF00122.12,PF00403.18,PF00702.18	ctpB-ctpB
Rv0104			1515	122316	123831	+	conserved hypothetical protein	chr					COG:T	PF00027.21	Rv0104-Rv0104
Rv0105c	rpmB1	Rv0105	285	123979	124264	-	50S ribosomal protein	chr	GO:0003735,GO:0005622,GO:0006412,GO:0005840				COG:J	PF00830.11	rpmB1-rpmB1
Rv0106			1197	124373	125570	+	conserved hypothetical protein	chr					COG:R	PF07683.6	Rv0106-Rv0106
Rv0107c	ctpI	Rv0107	4899	125642	130541	-	cation-transporter ATPase I	chr					COG:P,COG:P	PF00122.12,PF00702.18	ctpI-ctpI
Rv0108c		Rv0108	210	130894	131104	-	hypothetical protein	chr							Rv0108c-Rv0108c
Rv0109	PE_PGRS1		1491	131381	132872	+	PE-PGRS family protein	chr						PF00934.12	PE_PGRS1-PE_PGRS1
Rv0110			750	133019	133769	+	conserved membrane protein	chr					COG:R	PF01694.14	Rv0110-Rv0110
Rv0111			2058	133949	136007	+	transmembrane acyltransferase	chr					COG:I	PF01757.14	Rv0111-Rv0111
Rv0112	gca		957	136288	137245	+	GDP-mannose 4,6-dehydratase	chr		EC:4.2.1.47	KEGG:00051		COG:M,COG:G	PF00106.17,PF01073.11,PF01370.13,PF04321.9,PF07993.4	gca-gca
Rv0113	gmhA		591	137318	137909	+	sedoheptulose-7-phosphate isomerase	chr	GO:0005975,GO:0005529	EC:5.-.-.-	KEGG:00040,KEGG:00100,KEGG:00540,KEGG:00906		COG:G		gmhA-hddA
Rv0114	gmhB		573	137940	138513	+	D-alpha,beta-D-heptose-1,7-biphosphate phosphatase	chr	GO:0005529,GO:0005975	EC:5.-.-.-	KEGG:00040,KEGG:00906,KEGG:00100,KEGG:00540		COG:E		gmhA-hddA
Rv0115	hddA		1161	138512	139673	+	D-alpha-D-heptose-7-phosphate kinase	chr	GO:0005524,GO:0016310,GO:0016301				COG:R	PF00288.18,PF08544.5	gmhA-hddA
Rv0116c		Rv0116	756	140266	141022	-	conserved membrane protein	chr					COG:S	PF03734.5	Rv0116c-Rv0116c
Rv0117	oxyS		945	141199	142144	+	oxidative stress response regulatory protein	chr					COG:K	PF00126.19,PF03466.12	oxyS-oxyS
Rv0118c	oxcA	Rv0118	1749	142127	143876	-	oxalyl-CoA decarboxylase	chr					COG:H,COG:E	PF00205.14,PF02775.13,PF02776.10	oxcA-oxcA
Rv0119	fadD7		1578	144048	145626	+	fatty-acid-CoA ligase	chr					COG:I,COG:Q	PF00501.20	fadD7-fadD7
Rv0120c	fusA2	Rv0120	2145	145626	147771	-	elongation factor G	chr	GO:0005525,GO:0006412				COG:J	PF00009.19,PF00679.16,PF03144.17,PF03764.10	fusA2-fusA2
Rv0121c		Rv0121	435	147907	148342	-	conserved hypothetical protein	chr						PF01243.12	Rv0121c-Rv0121c
Rv0122			369	148490	148859	+	hypothetical protein	chr							Rv0122-Rv0123
Rv0123			369	148855	149224	+	hypothetical protein	chr							Rv0122-Rv0123
Rv0124	PE_PGRS2		1464	149532	150996	+	PE-PGRS family protein	chr						PF00934.12	PE_PGRS2-PE_PGRS2
Rv0125	pepA		1068	151147	152215	+	serine protease	chr					COG:O	PF00089.18,PF00595.16	pepA-pepA
Rv0126	treS		1806	152323	154129	+	trehalose synthase	chr				PWY:GLYCOCAT-PWY		PF00128.16	treS-treS
Rv0127			1368	154231	155599	+	conserved hypothetical protein	chr					COG:G		Rv0127-Rv0127
Rv0128			780	155666	156446	+	conserved membrane protein	chr						PF06912.3	Rv0128-Rv0128
Rv0129c	fbpC	Rv0129	1023	156577	157600	-	secreted fibronectin-binding protein C antigen 85-C	chr					COG:R	PF00756.12	fbpC-fbpC
Rv0130			456	157846	158302	+	conserved hypothetical protein	chr					COG:I	PF01575.11	Rv0130-Rv0130
Rv0131c	fadE1	Rv0131	1344	158314	159658	-	acyl-CoA dehydrogenase	chr				PWY:FAO-PWY	COG:I	PF00441.16,PF02770.11,PF08028.3	fadE1-fadE1
Rv0132c	fgd2	Rv0132	1083	159699	160782	-	F420-dependent glucose-6-phosphate dehydrogenase	chr					COG:C	PF00296.12	fgd2-fgd2
Rv0133			606	160868	161474	+	acetyltransferase	chr						PF00583.16	Rv0133-Rv0133
Rv0134	ephF		903	161770	162673	+	epoxide hydrolase	chr					COG:R	PF00561.12	ephF-ephF
Rv0135c		Rv0135	606	162643	163249	-	transcriptional regulator	chr					COG:K	PF00440.15	Rv0135c-Rv0135c
Rv0136	cyp138		1326	163365	164691	+	cytochrome P450 138	chr					COG:Q	PF00067.14	cyp138-cyp138
Rv0137c	msrA	Rv0137	549	164711	165260	-	peptide methionine sulfoxide reductase	chr						PF01625.13	msrA-msrA
Rv0138			504	165322	165826	+	conserved hypothetical protein	chr							Rv0138-Rv0139
Rv0139			1023	165826	166849	+	oxidoreductase	chr					COG:G,COG:M	PF01073.11,PF01370.13,PF07993.4	Rv0138-Rv0139
Rv0140			381	166909	167290	+	conserved hypothetical protein	chr						PF04248.4	Rv0140-Rv0140
Rv0141c		Rv0141	411	167270	167681	-	hypothetical protein	chr					COG:R		Rv0141c-Rv0141c
Rv0142			927	167710	168637	+	conserved hypothetical protein	chr					COG:L		Rv0142-Rv0142
Rv0143c		Rv0143	1479	168703	170182	-	conserved membrane protein	chr	GO:0016020,GO:0006821,GO:0005247				COG:P	PF00654.12	Rv0143c-Rv0143c
Rv0144			843	170283	171126	+	transcriptional regulator, tetR-family	chr					COG:K	PF00440.15	Rv0144-Rv0144
Rv0145			954	171214	172168	+	conserved hypothetical protein	chr					COG:Q	PF02409.10	Rv0145-Rv0145
Rv0146			933	172210	173143	+	conserved hypothetical protein	chr					COG:Q	PF02409.10	Rv0146-Rv0146
Rv0147			1521	173237	174758	+	aldehyde dehydrogenase NAD-dependent	chr	GO:0004029	EC:1.2.1.3	KEGG:00903,KEGG:00220,KEGG:00310,KEGG:00650,KEGG:00631,KEGG:00010,KEGG:00280,KEGG:00410,KEGG:00053,KEGG:00620,KEGG:00561,KEGG:00071,KEGG:00340,KEGG:00120,KEGG:00640,KEGG:00380		COG:C	PF00171.14	Rv0147-Rv0147
Rv0148			861	174832	175693	+	short-chain type dehydrogenase/reductase	chr					COG:R,COG:I,COG:Q	PF00106.17,PF08659.2	Rv0148-Rv0149
Rv0149			969	175699	176668	+	quinone oxidoreductase	chr					COG:R,COG:C	PF00107.18,PF08240.4	Rv0148-Rv0149
Rv0150c		Rv0150	288	176664	176952	-	conserved hypothetical protein	chr							Rv0150c-Rv0150c
Rv0151c	PE1	Rv0151	1767	177542	179309	-	PE family protein	chr						PF00934.12,PF08237.3	PE1-PE2
Rv0152c	PE2	Rv0152	1578	179318	180896	-	PE family protein	chr						PF08237.3	PE1-PE2
Rv0153c	ptbB	Rv0153	831	181154	181985	-	phosphotyrosine protein phosphatase ptpb	chr					COG:T		ptbB-fadE2
Rv0154c	fadE2	Rv0154	1212	181986	183198	-	acyl-CoA dehydrogenase	chr					COG:I	PF00441.16,PF02770.11,PF08028.3	ptbB-fadE2
Rv0155	pntAa		1101	183621	184722	+	NAD(P) transhydrogenase alpha subunit	chr	GO:0008750	EC:1.6.1.2	KEGG:00760	PWY:NADPHOS-DEPHOS-PWY	COG:C	PF01262.13,PF05222.7	pntAa-pntB
Rv0156	pntAb		333	184722	185055	+	NAD(P) transhydrogenase alpha subunit	chr	GO:0008750	EC:1.6.1.2	KEGG:00760	PWY:NADPHOS-DEPHOS-PWY	COG:C		pntAa-pntB
Rv0157	pntB		1428	185051	186479	+	NAD(P) transhydrogenase beta subunit	chr	GO:0008750	EC:1.6.1.2	KEGG:00760	PWY:NADPHOS-DEPHOS-PWY		PF02233.8	pntAa-pntB
Rv0157A			129	186494	186623	-	hypothetical protein	chr							
Rv0158			645	186784	187429	+	transcriptional regulator, tetR-family	chr					COG:K	PF00440.15	Rv0158-Rv0158
Rv0159c	PE3	Rv0159	1407	187432	188839	-	PE family protein	chr						PF00934.12,PF08237.3	PE3-PE3
Rv0160c	PE4	Rv0160	1509	188930	190439	-	PE family protein	chr						PF00934.12,PF08237.3	PE4-PE4
Rv0161			1350	190606	191956	+	oxidoreductase	chr					COG:C	PF01565.15,PF02913.11	Rv0161-Rv0161
Rv0162c	adhE1	Rv0162	1152	191983	193135	-	zinc-type alcohol dehydrogenase E subunit adhE	chr					COG:C	PF00107.18,PF08240.4	adhE1-adhE1
Rv0163			456	193116	193572	+	conserved hypothetical protein	chr					COG:R	PF03061.14	Rv0163-Rv0163
Rv0164	TB18.5		486	193625	194111	+	conserved hypothetical protein	chr					COG:I	PF03364.12	TB18.5-TB18.5
Rv0165c		Rv0165	795	194143	194938	-	transcriptional regulator, gntR-family	chr					COG:K	PF00392.13	Rv0165c-Rv0165c
Rv0166	fadD5		1665	194992	196657	+	fatty-acid-CoA ligase	chr				PWY:FAO-PWY	COG:Q,COG:I	PF00501.20	fadD5-fadD5
Rv0167	yrbE1A		798	196860	197658	+	hypothetical membrane protein	chr						PF02405.8	yrbE1A-Rv0178
Rv0168	yrbE1B		870	197659	198529	+	hypothetical membrane protein	chr						PF02405.8	yrbE1A-Rv0178
Rv0169	mce1A		1365	198533	199898	+	MCE-family protein	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0170	mce1B		1041	199894	200935	+	MCE-family protein	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0171	mce1C		1548	200931	202479	+	MCE-family protein	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0172	mce1D		1593	202475	204068	+	MCE-family protein	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0173	lprK		1173	204064	205237	+	MCE-family lipoprotein mce1E	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0174	mce1F		1548	205230	206778	+	MCE-family protein	chr					COG:Q	PF02470.12	yrbE1A-Rv0178
Rv0175			642	206813	207455	+	MCE-associated membrane protein	chr							yrbE1A-Rv0178
Rv0176			969	207451	208420	+	MCE-associated transmembrane protein	chr						PF06271.4	yrbE1A-Rv0178
Rv0177			555	208416	208971	+	MCE-associated protein	chr							yrbE1A-Rv0178
Rv0178			735	208937	209672	+	MCE-associated membrane protein	chr							yrbE1A-Rv0178
Rv0179c	lprO	Rv0179	1110	209702	210812	-	lipoprotein	chr							lprO-lprO
Rv0180c		Rv0180	1359	210891	212250	-	conserved membrane protein	chr					COG:S		Rv0180c-sigG
Rv0181c		Rv0181	735	212276	213011	-	conserved hypothetical protein	chr					COG:R	PF02678.8	Rv0180c-sigG
Rv0182c	sigG	Rv0182	1113	213027	214140	-	alternative RNA polymerase sigma factor	chr					COG:K	PF04542.6,PF04545.8,PF08281.4	Rv0180c-sigG
Rv0183			840	214087	214927	+	lysophospholipase	chr	GO:0047372	EC:3.1.1.23	KEGG:00561		COG:I	PF00561.12	Rv0183-Rv0183
Rv0184			750	214968	215718	+	conserved hypothetical protein	chr							Rv0184-Rv0185
Rv0185			510	215714	216224	+	conserved hypothetical protein	chr							Rv0184-Rv0185
Rv0186	bglS		2076	216268	218344	+	beta-glucosidase	chr						PF00933.13,PF01915.14	bglS-bglS
Rv0187			663	218704	219367	+	O-methyltransferase	chr					COG:R	PF01596.9	Rv0187-Rv0187
Rv0188			432	219485	219917	+	conserved membrane protein	chr						PF03779.6	Rv0188-Rv0188
Rv0189c	ilvD	Rv0189	1728	219995	221723	-	dihydroxy-acid dehydratase	chr	GO:0004160	EC:4.2.1.9	KEGG:00770,KEGG:00290	PWY:ILEUSYN-PWY,PWY:VALSYN-PWY		PF00920.13	ilvD-ilvD
Rv0190			291	221870	222161	+	conserved hypothetical protein	chr					COG:S	PF02583.9	Rv0190-Rv0190
Rv0191			1242	222288	223530	+	conserved membrane protein	chr					COG:G	PF07690.8	Rv0191-Rv0192A
Rv0192			1101	223563	224664	+	conserved hypothetical protein	chr					COG:S	PF03734.5	Rv0191-Rv0192A
Rv0192A			303	223606	223909	+	conserved secreted protein	chr							Rv0191-Rv0192A
Rv0193c		Rv0193	1848	224723	226571	-	hypothetical protein	chr							Rv0193c-Rv0193c
Rv0194			3585	226877	230462	+	drugs-transport transmembrane ATP-binding protein ABC transporter	chr					COG:V	PF00005.19,PF00664.15	Rv0194-Rv0194
Rv0195			636	230898	231534	+	two component system transcriptional regulator, luxR-family	chr					COG:T,COG:K	PF00196.11	Rv0195-Rv0195
Rv0196			585	231646	232231	+	transcriptional regulator	chr						PF00440.15	Rv0196-Rv0197
Rv0197			2289	232230	234519	+	oxidoreductase	chr					COG:C	PF00384.14,PF01568.13,PF04879.8	Rv0196-Rv0197
Rv0198c		Rv0198	1992	234515	236507	-	zinc metalloprotease	chr					COG:O	PF01431.13,PF05649.5	Rv0198c-Rv0198c
Rv0199			660	236549	237209	+	conserved membrane protein	chr							Rv0199-Rv0200
Rv0200			690	237205	237895	+	conserved membrane protein	chr							Rv0199-Rv0200
Rv0201c		Rv0201	504	237891	238395	-	conserved hypothetical protein	chr							Rv0201c-mmpL11
Rv0202c	mmpL11	Rv0202	2901	238391	241292	-	transmembrane transport protein	chr					COG:R		Rv0201c-mmpL11
Rv0203			411	241513	241924	+	hypothetical exported protein	chr							Rv0203-Rv0203
Rv0204c		Rv0204	1239	241975	243214	-	conserved membrane protein	chr					COG:S	PF03706.5	Rv0204c-Rv0204c
Rv0205			1104	243383	244487	+	conserved membrane protein	chr					COG:R	PF01594.8	Rv0205-Rv0205
Rv0206c	mmpL3	Rv0206	2835	244483	247318	-	transmembrane transport protein	chr					COG:R		mmpL3-mmpL3
Rv0207c		Rv0207	729	247383	248112	-	conserved hypothetical protein	chr							Rv0207c-trmB
Rv0208c	trmB	Rv0208	792	248114	248906	-	methlytransferase	chr	GO:0008176	EC:2.1.1.33			COG:R	PF02390.9	Rv0207c-trmB
Rv0209			1086	249037	250123	+	hypothetical protein	chr							Rv0209-Rv0210
Rv0210			1479	250119	251598	+	hypothetical protein	chr							Rv0209-Rv0210
