region	chromStart	chromEnd	type	strand	pre	post	description
63	82668	82747	intergenic	\N	Rv0074	Rv0073	\N
64	83983	83995	intergenic	\N	Rv0075	Rv0074	\N
65	85168	85182	intergenic	\N	Rv0076c	Rv0075	\N
66	85572	85635	intergenic	\N	Rv0077c	Rv0076c	\N
67	86466	86527	intergenic	\N	Rv0078	Rv0077c	\N
68	87133	87207	intergenic	\N	Rv0078A	Rv0078	\N
69	87801	88203	intergenic	\N	Rv0079	Rv0078A	\N
70	89480	89574	intergenic	\N	Rv0081	Rv0080	\N
71	89919	89923	intergenic	\N	Rv0082	Rv0081	\N
72	92322	92327	intergenic	\N	hycD	Rv0083	\N
73	93278	93288	intergenic	\N	hycP	hycD	\N
74	96892	96926	intergenic	\N	Rv0088	hycE	\N
75	97601	97757	intergenic	\N	Rv0089	Rv0088	\N
76	98351	98479	intergenic	\N	Rv0090	Rv0089	\N
77	99250	99683	intergenic	\N	mtn	Rv0090	\N
78	100451	100582	intergenic	\N	ctpA	mtn	\N
79	103663	103709	intergenic	\N	Rv0094c	Rv0093c	\N
80	104663	104804	intergenic	\N	Rv0095c	Rv0094c	\N
81	105215	105323	intergenic	\N	PPE1	Rv0095c	\N
82	106715	106733	intergenic	\N	Rv0097	PPE1	\N
83	108151	108155	intergenic	\N	fadD10	Rv0098	\N
84	109778	109782	intergenic	\N	Rv0100	fadD10	\N
85	117539	117713	intergenic	\N	Rv0102	nrp	\N
86	119699	119914	intergenic	\N	ctpB	Rv0102	\N
87	122173	122316	intergenic	\N	Rv0104	ctpB	\N
88	123831	123979	intergenic	\N	rpmB1	Rv0104	\N
89	124264	124373	intergenic	\N	Rv0106	rpmB1	\N
90	125570	125642	intergenic	\N	ctpI	Rv0106	\N
91	130541	130894	intergenic	\N	Rv0108c	ctpI	\N
92	131104	131381	intergenic	\N	PE	Rv0108c	\N
93	132872	133019	intergenic	\N	Rv0110	PE	\N
94	133769	133949	intergenic	\N	Rv0111	Rv0110	\N
95	136007	136288	intergenic	\N	gca	Rv0111	\N
96	137245	137318	intergenic	\N	gmhA	gca	\N
97	137909	137940	intergenic	\N	gmhB	gmhA	\N
98	139673	140266	intergenic	\N	Rv0116c	hddA	\N
99	141022	141199	intergenic	\N	oxyS	Rv0116c	\N
100	143876	144048	intergenic	\N	fadD7	oxcA	\N
101	147771	147907	intergenic	\N	Rv0121c	fusA2	\N
102	148342	148490	intergenic	\N	Rv0122	Rv0121c	\N
103	149224	149532	intergenic	\N	PE	Rv0123	\N
104	150996	151147	intergenic	\N	pepA	PE	\N
105	152215	152323	intergenic	\N	treS	pepA	\N
106	154129	154231	intergenic	\N	Rv0127	treS	\N
107	155599	155666	intergenic	\N	Rv0128	Rv0127	\N
108	156446	156577	intergenic	\N	fbpC	Rv0128	\N
109	157600	157846	intergenic	\N	Rv0130	fbpC	\N
110	158302	158314	intergenic	\N	fadE1	Rv0130	\N
111	159658	159699	intergenic	\N	fgd2	fadE1	\N
112	160782	160868	intergenic	\N	Rv0133	fgd2	\N
113	161474	161770	intergenic	\N	ephF	Rv0133	\N
114	163249	163365	intergenic	\N	cyp138	Rv0135c	\N
115	164691	164711	intergenic	\N	msrA	cyp138	\N
116	165260	165322	intergenic	\N	Rv0138	msrA	\N
117	166849	166909	intergenic	\N	Rv0140	Rv0139	\N
118	167681	167710	intergenic	\N	Rv0142	Rv0141c	\N
119	168637	168703	intergenic	\N	Rv0143c	Rv0142	\N
120	170182	170283	intergenic	\N	Rv0144	Rv0143c	\N
121	171126	171214	intergenic	\N	Rv0145	Rv0144	\N
122	172168	172210	intergenic	\N	Rv0146	Rv0145	\N
123	173143	173237	intergenic	\N	Rv0147	Rv0146	\N
124	174758	174832	intergenic	\N	Rv0148	Rv0147	\N
125	175693	175699	intergenic	\N	Rv0149	Rv0148	\N
126	176952	177542	intergenic	\N	PE1	Rv0150c	\N
127	179309	179318	intergenic	\N	PE2	PE1	\N
128	180896	181154	intergenic	\N	ptbB	PE2	\N
129	181985	181986	intergenic	\N	fadE2	ptbB	\N
130	183198	183621	intergenic	\N	pntAa	fadE2	\N
131	186479	186494	intergenic	\N	Rv0157A	pntB	\N
132	186623	186784	intergenic	\N	Rv0158	Rv0157A	\N
133	187429	187432	intergenic	\N	PE3	Rv0158	\N
134	188839	188930	intergenic	\N	PE4	PE3	\N
135	190439	190606	intergenic	\N	Rv0161	PE4	\N
136	191956	191983	intergenic	\N	adhE1	Rv0161	\N
137	193572	193625	intergenic	\N	TB18.5	Rv0163	\N
138	194111	194143	intergenic	\N	Rv0165c	TB18.5	\N
139	194938	194992	intergenic	\N	fadD5	Rv0165c	\N
140	196657	196860	intergenic	\N	yrbE1A	fadD5	\N
141	197658	197659	intergenic	\N	yrbE1B	yrbE1A	\N
142	198529	198533	intergenic	\N	mce1A	yrbE1B	\N
143	206778	206813	intergenic	\N	Rv0175	mce1F	\N
144	209672	209702	intergenic	\N	lprO	Rv0178	\N
145	210812	210891	intergenic	\N	Rv0180c	lprO	\N
146	212250	212276	intergenic	\N	Rv0181c	Rv0180c	\N
147	213011	213027	intergenic	\N	sigG	Rv0181c	\N
148	214927	214968	intergenic	\N	Rv0184	Rv0183	\N
149	216224	216268	intergenic	\N	bglS	Rv0185	\N
150	218344	218704	intergenic	\N	Rv0187	bglS	\N
151	219367	219485	intergenic	\N	Rv0188	Rv0187	\N
152	219917	219995	intergenic	\N	ilvD	Rv0188	\N
153	221723	221870	intergenic	\N	Rv0190	ilvD	\N
154	222161	222288	intergenic	\N	Rv0191	Rv0190	\N
155	223530	223563	intergenic	\N	Rv0192	Rv0191	\N
156	224664	224723	intergenic	\N	Rv0193c	Rv0192	\N
157	226571	226877	intergenic	\N	Rv0194	Rv0193c	\N
158	230462	230898	intergenic	\N	Rv0195	Rv0194	\N
159	231534	231646	intergenic	\N	Rv0196	Rv0195	\N
160	236507	236549	intergenic	\N	Rv0199	Rv0198c	\N
161	241292	241513	intergenic	\N	Rv0203	mmpL11	\N
162	241924	241975	intergenic	\N	Rv0204c	Rv0203	\N
163	243214	243383	intergenic	\N	Rv0205	Rv0204c	\N
164	247318	247383	intergenic	\N	Rv0207c	mmpL3	\N
165	248112	248114	intergenic	\N	trmB	Rv0207c	\N
166	248906	249037	intergenic	\N	Rv0209	trmB	\N
167	251598	251781	intergenic	\N	pckA	Rv0210	\N
168	253602	253668	intergenic	\N	nadR	pckA	\N
169	255950	256063	intergenic	\N	fadD4	Rv0213c	\N
170	257677	257782	intergenic	\N	fadE3	fadD4	\N
171	258856	258912	intergenic	\N	Rv0216	fadE3	\N
172	260831	260923	intergenic	\N	Rv0218	lipW	\N
173	262252	262253	intergenic	\N	Rv0219	Rv0218	\N
174	262802	262811	intergenic	\N	lipC	Rv0219	\N
175	264023	264066	intergenic	\N	Rv0221	lipC	\N
176	265476	265506	intergenic	\N	echA1	Rv0221	\N
177	266295	266300	intergenic	\N	Rv0223c	echA1	\N
178	267764	267862	intergenic	\N	Rv0224c	Rv0223c	\N
179	268627	268662	intergenic	\N	Rv0225	Rv0224c	\N
180	269817	269833	intergenic	\N	Rv0226c	Rv0225	\N
181	271564	271573	intergenic	\N	Rv0227c	Rv0226c	\N
182	272839	273054	intergenic	\N	Rv0228	Rv0227c	\N
183	274278	274305	intergenic	\N	Rv0229c	Rv0228	\N
184	275963	276057	intergenic	\N	fadE4	php	\N
185	277764	277898	intergenic	\N	Rv0232	fadE4	\N
186	279529	279604	intergenic	\N	gabD1	nrdB	\N
187	281140	281165	intergenic	\N	Rv0235c	gabD1	\N
188	282614	282648	intergenic	\N	Rv0236c	Rv0235c	\N
189	286851	286897	intergenic	\N	Rv0236A	Rv0236c	\N
190	287071	287185	intergenic	\N	lpqI	Rv0236A	\N
191	288352	288427	intergenic	\N	Rv0238	lpqI	\N
192	289042	289103	intergenic	\N	Rv0239	Rv0238	\N
193	289337	289344	intergenic	\N	Rv0240	Rv0239	\N
194	289782	289811	intergenic	\N	Rv0241c	Rv0240	\N
195	290654	290664	intergenic	\N	fabG	Rv0241c	\N
196	292029	292170	intergenic	\N	fadA2	fabG	\N
197	293493	293797	intergenic	\N	fadE5	fadA2	\N
198	295633	296004	intergenic	\N	Rv0245	fadE5	\N
199	296493	296808	intergenic	\N	Rv0246	Rv0245	\N
200	300803	300833	intergenic	\N	Rv0249c	Rv0248c	\N
201	301655	301734	intergenic	\N	Rv0250c	Rv0249c	\N
202	302028	302172	intergenic	\N	hsp	Rv0250c	\N
203	302652	302865	intergenic	\N	nirB	hsp	\N
204	305427	305452	intergenic	\N	nirD	nirB	\N
205	305809	305824	intergenic	\N	cobU	nirD	\N
206	306349	306373	intergenic	\N	cobQ1	cobU	\N
207	307858	307876	intergenic	\N	PPE2	cobQ1	\N
208	309547	309698	intergenic	\N	Rv0257	PPE2	\N
209	310073	310293	intergenic	\N	Rv0258c	Rv0257	\N
210	310749	310773	intergenic	\N	Rv0259c	Rv0258c	\N
211	312659	312758	intergenic	\N	narK3	Rv0260c	\N
212	314168	314308	intergenic	\N	aac	narK3	\N
213	314854	314863	intergenic	\N	Rv0263c	aac	\N
214	315766	315782	intergenic	\N	Rv0264c	Rv0263c	\N
215	316415	316510	intergenic	\N	Rv0265c	Rv0264c	\N
216	317503	317524	intergenic	\N	oplA	Rv0265c	\N
217	321154	321330	intergenic	\N	narU	oplA	\N
218	322722	322763	intergenic	\N	Rv0268c	narU	\N
219	323273	323337	intergenic	\N	Rv0269c	Rv0268c	\N
220	324531	324566	intergenic	\N	fadD2	Rv0269c	\N
221	326249	326265	intergenic	\N	fadE6	fadD2	\N
222	328461	328574	intergenic	\N	Rv0272c	fadE6	\N
223	330325	330421	intergenic	\N	Rv0274	Rv0273c	\N
224	331658	331747	intergenic	\N	Rv0276	Rv0275c	\N
225	332668	332707	intergenic	\N	Rv0277c	Rv0276	\N
226	333136	333436	intergenic	\N	PE	Rv0277c	\N
227	336310	336559	intergenic	\N	PE	PE	\N
228	339073	339363	intergenic	\N	PPE3	PE	\N
229	340974	340997	intergenic	\N	Rv0281	PPE3	\N
230	341906	342129	intergenic	\N	Rv0282	Rv0281	\N
231	349932	349934	intergenic	\N	PPE4	PE5	\N
232	351476	351524	intergenic	\N	esxG	PPE4	\N
233	351818	351847	intergenic	\N	esxH	esxG	\N
234	352138	352148	intergenic	\N	Rv0289	esxH	\N
235	353036	353082	intergenic	\N	Rv0290	Rv0289	\N
236	358064	358170	intergenic	\N	tam	Rv0293c	\N
237	359748	359757	intergenic	\N	Rv0296c	Rv0295c	\N
238	361155	361333	intergenic	\N	PE	Rv0296c	\N
239	363109	363251	intergenic	\N	Rv0298	PE	\N
240	363778	363825	intergenic	\N	Rv0300	Rv0299	\N
241	364469	364604	intergenic	\N	Rv0302	Rv0301	\N
242	366142	366149	intergenic	\N	PPE5	Rv0303	\N
243	372764	372819	intergenic	\N	PPE6	PPE5	\N
244	375711	375913	intergenic	\N	Rv0306	PPE6	\N
245	377055	377112	intergenic	\N	Rv0308	Rv0307c	\N
246	377829	377930	intergenic	\N	Rv0309	Rv0308	\N
247	378587	378656	intergenic	\N	Rv0310c	Rv0309	\N
248	379148	379171	intergenic	\N	Rv0311	Rv0310c	\N
249	380401	380555	intergenic	\N	Rv0312	Rv0311	\N
250	382418	382489	intergenic	\N	Rv0313	Rv0312	\N
251	382876	382878	intergenic	\N	Rv0314c	Rv0313	\N
252	383541	383601	intergenic	\N	Rv0315	Rv0314c	\N
253	384486	384534	intergenic	\N	Rv0316	Rv0315	\N
254	385149	385172	intergenic	\N	glpQ2	Rv0316	\N
255	385943	386203	intergenic	\N	Rvnt04	glpQ2	\N
256	386274	386304	intergenic	\N	Rv0318c	Rvnt04	\N
257	387099	387147	intergenic	\N	pcp	Rv0318c	\N
258	387816	387887	intergenic	\N	Rv0320	pcp	\N
259	388550	388581	intergenic	\N	dcd	Rv0320	\N
260	389154	389259	intergenic	\N	udgA	dcd	\N
261	391251	391351	intergenic	\N	Rv0324	Rv0323c	\N
262	392032	392038	intergenic	\N	Rv0325	Rv0324	\N
263	392263	392272	intergenic	\N	Rv0326	Rv0325	\N
264	394045	394110	intergenic	\N	Rv0328	cyp135A1	\N
265	395320	395346	intergenic	\N	Rv0330c	Rv0329c	\N
266	396087	396200	intergenic	\N	Rv0331	Rv0330c	\N
267	397367	397441	intergenic	\N	Rv0332	Rv0331	\N
268	398227	398253	intergenic	\N	Rv0333	Rv0332	\N
269	398628	398657	intergenic	\N	rmlA	Rv0333	\N
270	399524	399534	intergenic	\N	PE6	rmlA	\N
271	400050	400191	intergenic	\N	Rv0336	PE6	\N
272	401703	401872	intergenic	\N	aspC	Rv0336	\N
273	403162	403192	intergenic	\N	Rv0338c	aspC	\N
274	405841	405949	intergenic	\N	Rv0339c	Rv0338c	\N
275	408448	408633	intergenic	\N	Rv0340	Rv0339c	\N
276	409173	409361	promoter	+	iniB	Rv0340	promoter_iniB-iniA-iniC
277	410801	410837	intergenic	\N	iniA	iniB	\N
278	414238	414380	intergenic	\N	lpqJ	iniC	\N
279	414941	415049	intergenic	\N	Rv0345	lpqJ	\N
280	415460	415501	intergenic	\N	ansP2	Rv0345	\N
281	416965	417303	intergenic	\N	Rv0347	ansP2	\N
282	418290	418292	intergenic	\N	Rv0348	Rv0347	\N
283	418946	418948	intergenic	\N	Rv0349	Rv0348	\N
284	419608	419834	intergenic	\N	dnaK	Rv0349	\N
285	422416	422451	intergenic	\N	dnaJ1	grpE	\N
286	424019	424268	intergenic	\N	PPE7	hspR	\N
287	424694	424776	intergenic	\N	PPE8	PPE7	\N
288	434679	434829	intergenic	\N	Rv0356c	PPE8	\N
289	436769	436859	intergenic	\N	Rv0358	purA	\N
290	437507	437517	intergenic	\N	Rv0359	Rv0358	\N
291	438297	438301	intergenic	\N	Rv0360c	Rv0359	\N
292	438739	438821	intergenic	\N	Rv0361	Rv0360c	\N
293	439649	439870	intergenic	\N	mgtE	Rv0361	\N
294	441253	441264	intergenic	\N	fba	mgtE	\N
295	442299	442394	intergenic	\N	Rv0364	fba	\N
296	444197	444221	intergenic	\N	Rv0366c	Rv0365c	\N
297	444815	444843	intergenic	\N	Rv0367c	Rv0366c	\N
298	445233	445313	intergenic	\N	Rv0368c	Rv0367c	\N
299	446525	446530	intergenic	\N	Rv0369c	Rv0368c	\N
300	447046	447146	intergenic	\N	Rv0370c	Rv0369c	\N
301	449385	449403	intergenic	\N	Rv0373c	Rv0372c	\N
302	452279	452293	intergenic	\N	Rv0375c	Rv0374c	\N
303	453154	453229	intergenic	\N	Rv0376c	Rv0375c	\N
304	454372	454420	intergenic	\N	Rv0377	Rv0376c	\N
305	455386	455636	intergenic	\N	Rv0378	Rv0377	\N
306	455858	455976	intergenic	\N	secE2	Rv0378	\N
307	456192	456267	intergenic	\N	Rv0380c	secE2	\N
308	456819	456914	intergenic	\N	Rv0381c	Rv0380c	\N
309	457823	457840	intergenic	\N	pyrE	Rv0381c	\N
310	458380	458460	intergenic	\N	Rv0383c	pyrE	\N
311	459315	459455	intergenic	\N	clpB	Rv0383c	\N
312	462002	462134	intergenic	\N	Rv0385	clpB	\N
313	463307	463410	intergenic	\N	Rv0386	Rv0385	\N
314	466668	466671	intergenic	\N	Rv0387c	Rv0386	\N
315	467406	467458	intergenic	\N	PPE9	Rv0387c	\N
316	468001	468334	intergenic	\N	purT	PPE9	\N
317	472639	472780	intergenic	\N	Rv0393	ndhA	\N
318	474106	474121	intergenic	\N	Rv0394c	Rv0393	\N
319	474841	474939	intergenic	\N	Rv0395	Rv0394c	\N
320	475344	475349	intergenic	\N	Rv0396	Rv0395	\N
321	475742	475815	intergenic	\N	Rv0397	Rv0396	\N
322	476184	476678	intergenic	\N	Rv0398c	Rv0397	\N
323	477320	477326	intergenic	\N	lpqK	Rv0398c	\N
324	478556	478565	intergenic	\N	fadE7	lpqK	\N
325	479753	479788	intergenic	\N	Rv0401	fadE7	\N
326	480160	480354	intergenic	\N	mmpL1	Rv0401	\N
327	483656	483976	intergenic	\N	fadD30	mmpS1	\N
328	490705	490782	intergenic	\N	fgd1	Rv0406c	\N
329	495008	495061	intergenic	\N	pknG	ackA	\N
330	499619	499712	intergenic	\N	mutT3	Rv0412c	\N
331	501018	501147	intergenic	\N	thiO	thiE	\N
332	503124	503495	intergenic	\N	lpqL	thiG	\N
333	504998	505085	intergenic	\N	lpqM	lpqL	\N
334	506971	507131	intergenic	\N	Rv0421c	Rv0420c	\N
335	508555	508581	intergenic	\N	thiC	thiD	\N
336	510225	510376	intergenic	\N	Rv0424c	thiC	\N
337	510652	510701	intergenic	\N	ctpH	Rv0424c	\N
338	515321	515372	intergenic	\N	Rv0426c	ctpH	\N
339	515816	516016	intergenic	\N	xthA	Rv0426c	\N
340	516892	516894	intergenic	\N	Rv0428c	xthA	\N
341	518396	518732	intergenic	\N	Rv0430	def	\N
342	519041	519072	intergenic	\N	Rv0431	Rv0430	\N
343	519567	519599	intergenic	\N	sodC	Rv0431	\N
344	520322	520323	intergenic	\N	Rv0433	sodC	\N
345	521454	521513	intergenic	\N	Rv0434	Rv0433	\N
346	522167	522346	intergenic	\N	Rv0435c	Rv0434	\N
347	526082	526142	intergenic	\N	moeA2	psd	\N
348	527360	527378	intergenic	\N	Rv0439c	moeA2	\N
349	528314	528607	intergenic	\N	groEL	Rv0439c	\N
350	530230	530295	intergenic	\N	Rv0441c	groEL	\N
351	530724	530750	intergenic	\N	PPE10	Rv0441c	\N
352	532214	532395	intergenic	\N	Rv0443	PPE10	\N
353	532911	533090	intergenic	\N	Rv0444c	Rv0443	\N
354	533789	533832	intergenic	\N	sigK	Rv0444c	\N
355	534396	534444	intergenic	\N	Rv0446c	sigK	\N
356	535215	535223	intergenic	\N	ufaA1	Rv0446c	\N
357	537169	537228	intergenic	\N	Rv0449c	Rv0448c	\N
358	538548	538587	intergenic	\N	mmpL4	Rv0449c	\N
359	541910	542141	intergenic	\N	Rv0452	mmpS4	\N
360	542852	543173	intergenic	\N	PPE11	Rv0452	\N
361	544730	544834	intergenic	\N	Rv0454	PPE11	\N
362	545185	545374	intergenic	\N	Rv0455c	Rv0454	\N
363	545821	545888	intergenic	\N	echA2	Rv0455c	\N
364	546803	547075	intergenic	\N	Rv0456A	echA2	\N
365	547357	547585	intergenic	\N	Rv0457c	Rv0456A	\N
366	549607	549674	intergenic	\N	Rv0458	Rv0457c	\N
367	551689	551748	intergenic	\N	Rv0460	Rv0459	\N
368	551988	552025	intergenic	\N	Rv0461	Rv0460	\N
369	552550	552613	intergenic	\N	lpd	Rv0461	\N
370	554008	554015	intergenic	\N	Rv0463	lpd	\N
371	554309	554312	intergenic	\N	Rv0464c	Rv0463	\N
372	556306	556457	intergenic	\N	Rv0466	Rv0465c	\N
373	557252	557526	intergenic	\N	icl	Rv0466	\N
374	558813	558894	intergenic	\N	fadB2	icl	\N
375	559755	559887	intergenic	\N	umaA	fadB2	\N
376	560748	560847	intergenic	\N	pcaA	umaA	\N
377	561711	561853	intergenic	\N	Rv0470A	pcaA	\N
378	562713	562722	intergenic	\N	Rv0472c	Rv0471c	\N
379	563427	563563	intergenic	\N	Rv0473	Rv0472c	\N
380	564934	565020	intergenic	\N	Rv0474	Rv0473	\N
381	565443	565796	intergenic	\N	hbhA	Rv0474	\N
382	566396	566507	intergenic	\N	Rv0476	hbhA	\N
383	566771	566775	intergenic	\N	Rv0477	Rv0476	\N
384	567896	567920	intergenic	\N	Rv0479c	deoC	\N
385	569806	569987	intergenic	\N	Rv0481c	Rv0480c	\N
386	570512	570538	intergenic	\N	murB	Rv0481c	\N
387	571648	571709	intergenic	\N	lprQ	murB	\N
388	573801	573983	intergenic	\N	Rv0485	Rv0484c	\N
389	575300	575347	intergenic	\N	Rv0486	Rv0485	\N
390	577338	577663	intergenic	\N	Rv0488	Rv0487	\N
391	578269	578425	intergenic	\N	gpm1	Rv0488	\N
392	579175	579348	intergenic	\N	senX3	gpm1	\N
393	580581	580808	intergenic	\N	regX3	senX3	\N
394	584690	584694	intergenic	\N	Rv0494	Rv0493c	\N
395	586314	586393	intergenic	\N	Rv0496	Rv0495c	\N
396	588309	588324	intergenic	\N	Rv0498	Rv0497	\N
397	589167	589182	intergenic	\N	Rv0499	Rv0498	\N
398	590058	590082	intergenic	\N	proC	Rv0499	\N
399	590970	591110	intergenic	\N	Rv0500A	proC	\N
400	591347	591474	intergenic	\N	Rv0500B	Rv0500A	\N
401	591576	591653	intergenic	\N	galE2	Rv0500B	\N
402	592784	592790	intergenic	\N	Rv0502	galE2	\N
403	593867	593870	intergenic	\N	cmaA2	Rv0502	\N
404	594779	594801	intergenic	\N	Rv0504c	cmaA2	\N
405	595302	595463	intergenic	\N	serB1	Rv0504c	\N
406	596585	596758	intergenic	\N	mmpS2	serB1	\N
407	600391	600440	intergenic	\N	hemA	Rv0508	\N
408	601847	601856	intergenic	\N	hemC	hemA	\N
409	602786	602818	intergenic	\N	hemD	hemC	\N
410	604516	604601	intergenic	\N	hemB	hemD	\N
411	605591	605603	intergenic	\N	Rv0513	hemB	\N
412	606448	606550	intergenic	\N	Rv0515	Rv0514	\N
413	608535	608745	intergenic	\N	Rv0517	Rv0516c	\N
414	610056	610187	intergenic	\N	Rv0518	Rv0517	\N
415	610883	611171	intergenic	\N	Rv0519c	Rv0518	\N
416	612074	612254	intergenic	\N	Rv0520	Rv0519c	\N
417	612903	613037	intergenic	\N	gabP	Rv0521	\N
418	614721	614834	intergenic	\N	hemL	Rv0523c	\N
419	616831	616845	intergenic	\N	Rv0526	Rv0525	\N
420	618272	618304	intergenic	\N	Rv0528	ccdA	\N
421	620865	620906	intergenic	\N	Rv0530	ccsA	\N
422	622124	622328	intergenic	\N	Rv0531	Rv0530	\N
423	622646	622792	intergenic	\N	PE	Rv0531	\N
424	625480	625561	intergenic	\N	menA	fabH	\N
425	626440	626456	intergenic	\N	pnp	menA	\N
426	628288	628297	intergenic	\N	Rv0537c	galE3	\N
427	629731	630039	intergenic	\N	Rv0538	Rv0537c	\N
428	631686	631742	intergenic	\N	Rv0539	Rv0538	\N
429	633034	633054	intergenic	\N	Rv0541c	Rv0540	\N
430	634404	634415	intergenic	\N	menE	Rv0541c	\N
431	635504	635572	intergenic	\N	Rv0543c	menE	\N
432	635875	635934	intergenic	\N	Rv0544c	Rv0543c	\N
433	637463	637582	intergenic	\N	Rv0546c	pitA	\N
434	637969	638031	intergenic	\N	Rv0547c	Rv0546c	\N
435	638916	639011	intergenic	\N	menB	Rv0547c	\N
436	639956	640227	intergenic	\N	Rv0549c	menB	\N
437	640904	641095	intergenic	\N	fadD8	Rv0550c	\N
438	642811	642888	intergenic	\N	Rv0552	fadD8	\N
439	646255	646297	intergenic	\N	menD	bpoC	\N
440	648474	648535	intergenic	\N	pimB	Rv0556	\N
441	649672	649688	intergenic	\N	menH	pimB	\N
442	650393	650406	intergenic	\N	Rv0559c	menH	\N
443	650745	650778	intergenic	\N	Rv0560c	Rv0559c	\N
444	651504	651528	intergenic	\N	Rv0561c	Rv0560c	\N
445	652755	652770	intergenic	\N	grcC1	Rv0561c	\N
446	653778	653878	intergenic	\N	htpX	grcC1	\N
447	654739	654923	intergenic	\N	gpsA	htpX	\N
448	655949	656009	intergenic	\N	Rv0565c	gpsA	\N
449	657470	657547	intergenic	\N	Rv0566c	Rv0565c	\N
450	658039	658108	intergenic	\N	Rvnt05	Rv0566c	\N
451	658189	658320	intergenic	\N	Rv0567	Rvnt05	\N
452	659340	659449	intergenic	\N	cyp135B1	Rv0567	\N
453	660868	661002	intergenic	\N	Rv0569	cyp135B1	\N
454	661269	661294	intergenic	\N	nrdZ	Rv0569	\N
455	663373	663486	intergenic	\N	Rv0571c	nrdZ	\N
456	664818	665041	intergenic	\N	Rv0572c	Rv0571c	\N
457	665383	665850	intergenic	\N	Rv0573c	Rv0572c	\N
458	667242	667251	intergenic	\N	Rv0574c	Rv0573c	\N
